provinceID = 9
year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1982 08   0.00,  0.00,  0.05,  0.65,  8.93, 22.27, 28.67, 21.14, 11.89,  4.14,  1.72,  0.32,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.11,  1.78, 12.26, 23.72, 26.79, 19.69, 10.65,  2.90,  1.61,  0.38,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.38,  3.07, 14.52, 23.24, 25.17, 19.04,  9.58,  3.23,  1.51,  0.22,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.38,  4.36, 14.79, 22.27, 23.08, 19.74, 10.27,  3.66,  1.29,  0.11,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.75,  5.76, 13.93, 19.69, 21.62, 18.77, 12.48,  4.63,  1.72,  0.54,  0.00,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  1.61,  7.32, 13.56, 19.31, 18.61, 18.67, 11.62,  5.86,  2.64,  0.54,  0.22,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 14   0.00,  0.05,  2.10,  8.07, 13.23, 17.91, 18.34, 16.62, 11.83,  7.10,  3.50,  0.81,  0.27,  0.11,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
1982 15   0.00,  0.05,  1.51,  5.43, 12.48, 15.06, 17.37, 18.34, 13.18,  9.79,  4.36,  1.78,  0.38,  0.22,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
1982 16   0.00,  0.11,  0.54,  3.71,  7.48, 13.77, 14.85, 18.77, 16.14, 11.73,  6.94,  3.71,  1.40,  0.54,  0.32,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 17   0.00,  0.05,  0.38,  1.61,  4.30,  9.14, 13.61, 14.42, 16.41, 13.88, 12.21,  7.64,  4.14,  1.56,  0.54,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00
1982 18   0.00,  0.05,  0.16,  0.43,  2.47,  6.46,  8.71, 13.45, 15.98, 15.38, 14.09, 11.46,  6.94,  2.96,  0.91,  0.32,  0.16,  0.05,  0.00,  0.00,  0.00
1982 19   0.00,  0.00,  0.16,  0.16,  1.29,  3.55,  6.72,  9.41, 13.50, 16.08, 16.41, 14.69,  9.20,  5.54,  2.21,  0.75,  0.16,  0.05,  0.11,  0.00,  0.00
1982 20   0.00,  0.00,  0.22,  0.16,  0.75,  2.15,  5.27,  8.34, 12.75, 15.81, 18.40, 15.44,  9.90,  6.24,  3.23,  1.08,  0.22,  0.00,  0.05,  0.00,  0.00
